EmployeeID,Schedule Employee Rule,HourLimit,AlertType
25304,HOURS PER WEEK,25,WARN
253519,HOURS PER DAY,12,WARN
253519,HOURS PER WEEK,40,WARN
253519,DAYS PER WEEK,7,WARN
262857,HOURS PER WEEK,60,WARN
290722,HOURS PER DAY,12,WARN
292989,HOURS PER DAY,10,WARN
293039,HOURS PER DAY,8,WARN
301989,HOURS PER DAY,8,WARN
392337,DAYS PER WEEK,5,WARN
392356,HOURS PER WEEK,70,WARN
392380,HOURS PER DAY,0,WARN
392395,HOURS PER DAY,0,WARN
392398,HOURS PER DAY,0,WARN
392403,HOURS PER DAY,0,WARN
392405,HOURS PER DAY,0,WARN
392408,HOURS PER DAY,0,WARN
393234,HOURS PER WEEK,40,WARN
393261,HOURS PER WEEK,40,WARN
398229,HOURS PER DAY,0,WARN
416204,HOURS PER DAY,0,WARN
420941,HOURS PER DAY,0,WARN
426853,HOURS PER DAY,0,WARN
438635,HOURS PER DAY,0,WARN
456808,HOURS PER WEEK,38,WARN
456822,HOURS PER WEEK,60,WARN
456822,DAYS PER WEEK,7,WARN
456826,HOURS PER WEEK,41,WARN
456831,HOURS PER WEEK,80,WARN
456833,HOURS PER WEEK,100,WARN
456840,HOURS PER WEEK,38,WARN
456849,HOURS PER WEEK,38,WARN
457041,HOURS PER WEEK,30,WARN
457049,HOURS PER WEEK,30,WARN
457054,HOURS PER WEEK,38,WARN
457056,HOURS PER WEEK,38,WARN
457537,HOURS PER WEEK,30,WARN
457889,HOURS PER WEEK,38,WARN
457894,HOURS PER WEEK,39,WARN
457896,HOURS PER WEEK,38,WARN
457926,HOURS PER WEEK,29,WARN
457929,HOURS PER WEEK,36,WARN
457935,HOURS PER WEEK,40,WARN
457938,HOURS PER WEEK,39,WARN
457939,HOURS PER WEEK,30,WARN
457941,HOURS PER WEEK,30,WARN
457944,HOURS PER WEEK,39,WARN
457951,HOURS PER WEEK,39,WARN
458609,HOURS PER WEEK,39,WARN
458610,HOURS PER WEEK,38,WARN
458613,HOURS PER WEEK,38,WARN
458621,HOURS PER WEEK,38,WARN
458622,HOURS PER WEEK,38,WARN
458933,HOURS PER WEEK,39,WARN
458937,HOURS PER WEEK,39,WARN
458955,HOURS PER WEEK,39,WARN
458958,HOURS PER WEEK,39,WARN
458964,HOURS PER WEEK,39,WARN
458969,HOURS PER WEEK,39,WARN
458981,HOURS PER WEEK,39,WARN
458983,HOURS PER WEEK,39,WARN
459216,HOURS PER DAY,0,WARN
459242,HOURS PER WEEK,29,WARN
459255,HOURS PER WEEK,36,WARN
459886,HOURS PER WEEK,39,WARN
459888,HOURS PER WEEK,39,WARN
461176,HOURS PER WEEK,30,WARN
464175,HOURS PER WEEK,39,WARN
464699,HOURS PER WEEK,70,WARN
465103,HOURS PER WEEK,39,WARN
465385,HOURS PER WEEK,39,WARN
467617,HOURS PER WEEK,39,WARN
467621,HOURS PER WEEK,39,WARN
467987,HOURS PER WEEK,20,WARN
467997,HOURS PER WEEK,30,WARN
468010,HOURS PER WEEK,30,WARN
468661,HOURS PER DAY,0,WARN
470851,HOURS PER WEEK,40,WARN
470858,HOURS PER WEEK,30,WARN
471075,HOURS PER WEEK,30,WARN
471075,DAYS PER WEEK,7,WARN
471078,HOURS PER DAY,7,WARN
471082,HOURS PER DAY,7,WARN
471334,HOURS PER DAY,0,WARN
472166,HOURS PER WEEK,38,WARN
472906,HOURS PER WEEK,30,WARN
472909,HOURS PER WEEK,30,WARN
475595,HOURS PER WEEK,39,WARN
476042,HOURS PER WEEK,37,WARN
478967,HOURS PER WEEK,39,WARN
479679,HOURS PER WEEK,38,WARN
488440,HOURS PER WEEK,39,WARN
488581,HOURS PER WEEK,35,WARN
492393,HOURS PER WEEK,35,WARN
492517,HOURS PER WEEK,35,WARN
492518,HOURS PER WEEK,35,WARN
492528,HOURS PER WEEK,35,WARN
492549,HOURS PER WEEK,35,WARN
492551,HOURS PER WEEK,35,WARN
493238,HOURS PER WEEK,35,WARN
